Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pancreatic carcinoma	1/1869	0.6919972871014007	0.7238865630046911	0	0	0.8818376484329375	0.3246690274807676	DPP6
Glioblastoma	1/1937	0.7055807811421172	0.7321656372846871	0	0	0.8476709241172051	0.29561168245276104	GABRA1
leukemia	1/1941	0.7063624430191474	0.7321656372846871	0	0	0.8457357075913777	0.29400039584870374	KCNIP3
Alzheimer's Disease	1/1982	0.7142655172348154	0.7369921473286504	0	0	0.8263503281171126	0.2780673092400804	KCNIP3
Malignant tumor of colon	1/2001	0.7178613840747422	0.7373508334161378	0	0	0.8176363636363636	0.27102910999568003	GABRA1
Colon Carcinoma	1/2091	0.7343375585214517	0.7508766927223852	0	0	0.7785123966942149	0.24039409256124827	GABRA1
Breast Carcinoma	2/4963	0.83823096513737	0.8532664981443184	0	0	0.6058052811933078	0.10690137026944359	KCNIP3;TRAK2
Colorectal Carcinoma	1/2931	0.8507569825595148	0.8621510492902227	0	0	0.5292584548557244	0.08554338677270315	GABRA1
Colorectal Cancer	1/3298	0.885030346843843	0.8928972832602328	0	0	0.4602255493975239	0.05620888550004731	GABRA1
Liver carcinoma	1/3593	0.9071713251640814	0.9111853575763117	0	0	0.4149625430249038	0.040427291940938595	GABRB3
Malignant neoplasm of breast	1/5054	0.9696975470592264	0.9696975470592264	0	0	0.2686972635518054	0.00826810049510676	KCNIP3
